day.dec,latitude,N/S,longitude,E/W,GPSfix,NSats,HDOP,elevation
736368.6836458333,37.905724666666664,N,107.70772216666667,W,1,8,0.79,3346.2
736368.6836574074,37.905725,N,107.70772233333334,W,1,8,0.77,3346.0
736368.6836689815,37.90572516666667,N,107.707723,W,1,8,0.77,3345.8
736368.6836805556,37.905725333333336,N,107.70772366666667,W,1,8,0.77,3345.8
736368.6836921297,37.9057255,N,107.70772433333333,W,1,8,0.77,3345.6
736368.6837037037,37.90572516666667,N,107.7077255,W,1,8,0.77,3345.5
736368.6837152778,37.90572483333333,N,107.707727,W,1,8,0.66,3345.2
736368.6837268518,37.90572433333333,N,107.70772683333334,W,1,8,0.66,3345.2
736368.683738426,37.90572366666667,N,107.70772716666667,W,1,8,0.66,3345.2
736368.68375,37.905723333333334,N,107.70772766666667,W,1,8,0.66,3345.1
736368.6837615741,37.90572233333333,N,107.70772733333334,W,1,8,0.66,3345.1
736368.6837731481,37.90572133333333,N,107.7077265,W,1,8,0.66,3345.2
736368.6837847222,37.90572083333333,N,107.70772616666666,W,1,8,0.66,3345.3
736368.6837962962,37.905721666666665,N,107.70772516666666,W,1,8,0.68,3345.3
736368.6838078704,37.9057225,N,107.707724,W,1,8,0.68,3345.4
736368.6838194445,37.9057235,N,107.70772316666667,W,1,8,0.68,3345.4
736368.6838310185,37.90572433333333,N,107.70772316666667,W,1,8,0.68,3345.5
736368.6838425926,37.90572516666667,N,107.70772266666667,W,1,8,0.68,3345.5
736368.6838541667,37.9057255,N,107.70772316666667,W,1,8,0.68,3345.5
736368.6838657408,37.905726333333334,N,107.707723,W,1,8,0.68,3345.6
736368.6838773148,37.90572733333333,N,107.70772316666667,W,1,8,0.66,3345.6
736368.6838888889,37.905728,N,107.70772383333333,W,1,8,0.66,3345.6
736368.6839004629,37.9057285,N,107.70772366666667,W,1,8,0.68,3345.6
736368.683912037,37.90572933333333,N,107.7077235,W,1,8,0.68,3345.6
736368.6839236111,37.905730166666665,N,107.70772333333333,W,1,8,0.68,3345.7
736368.6839351852,37.9057305,N,107.7077235,W,1,8,0.68,3345.7
736368.6839467592,37.90573066666666,N,107.70772433333333,W,1,8,0.68,3345.6
736368.6839583333,37.90573,N,107.707726,W,1,8,0.66,3345.4
736368.6839699075,37.90573066666666,N,107.7077265,W,1,8,0.66,3345.5
736368.6839814815,37.905732,N,107.7077265,W,1,8,0.68,3345.4
736368.6839930556,37.90573216666667,N,107.70772766666667,W,1,8,0.66,3345.5
736368.6840046296,37.905732,N,107.70772816666667,W,1,8,0.66,3345.5
736368.6840162037,37.90573216666667,N,107.70772783333334,W,1,8,0.66,3345.8
736368.6840277778,37.905731833333334,N,107.70772716666667,W,1,8,0.66,3345.9
736368.6840393519,37.9057305,N,107.70772766666667,W,1,8,0.66,3346.1
736368.6840509259,37.90573,N,107.707727,W,1,8,0.66,3346.1
