day.dec,latitude,N/S,longitude,E/W,GPSfix,NSats,HDOP,elevation
736367.833599537,37.90661683333333,N,107.72599416666667,W,1,8,1.03,3738.0
736367.8336111112,37.90661816666667,N,107.72599383333333,W,1,8,1.03,3738.0
736367.8336226852,37.906614833333336,N,107.725995,W,1,8,1.03,3737.7
736367.8336342593,37.906605,N,107.72599883333334,W,1,8,1.03,3737.7
736367.8336458333,37.906608166666665,N,107.72600033333333,W,1,8,1.03,3737.5
736367.8336574074,37.90661083333333,N,107.72600233333333,W,1,8,1.03,3737.4
736367.8336689814,37.9066065,N,107.7260055,W,1,8,1.03,3737.0
736367.8336805556,37.906602166666666,N,107.726007,W,1,8,1.12,3737.8
736367.8336921296,37.906593666666666,N,107.72600966666667,W,1,8,1.01,3737.6
736367.8337037037,37.906588,N,107.72601016666667,W,1,8,1.01,3737.9
736367.8337152777,37.906583166666664,N,107.72600916666667,W,1,8,1.01,3737.3
736367.8337268519,37.906577,N,107.72600566666667,W,1,8,0.93,3737.0
736367.833738426,37.90657066666667,N,107.72600683333333,W,1,8,0.91,3736.3
736367.83375,37.906571166666666,N,107.726008,W,1,8,1.01,3735.3
736367.8337615741,37.9065655,N,107.726011,W,1,8,1.01,3735.4
736367.8337731481,37.90656083333333,N,107.72601333333333,W,1,8,1.01,3734.3
736367.8337847223,37.906557,N,107.72601366666666,W,1,8,0.98,3734.4
736367.8337962963,37.906545,N,107.726014,W,1,8,0.98,3733.9
736367.8338078704,37.90653833333333,N,107.72601433333334,W,1,8,0.98,3733.5
736367.8338194444,37.90653116666667,N,107.72601516666667,W,1,8,0.98,3733.6
736367.8338310185,37.906533,N,107.72602,W,1,8,0.98,3733.5
736367.8338425925,37.906538,N,107.7260235,W,1,8,0.98,3734.4
736367.8338541667,37.906542333333334,N,107.72602466666666,W,1,8,0.98,3734.3
736367.8338657407,37.9065395,N,107.726024,W,1,8,1.01,3734.4
736367.8338773148,37.90654133333334,N,107.72603,W,1,8,0.98,3733.9
736367.8338888889,37.9065405,N,107.7260365,W,1,8,0.98,3733.6
736367.833900463,37.9065395,N,107.7260395,W,1,8,0.98,3733.8
736367.8339120371,37.90653983333333,N,107.726042,W,1,8,0.98,3733.8
736367.8339236111,37.90653916666667,N,107.72604733333333,W,1,8,0.98,3733.8
736367.8339351852,37.906539333333335,N,107.72605316666667,W,1,8,0.98,3733.6
