day.dec,latitude,N/S,longitude,E/W,GPSfix,NSats,HDOP,elevation
736367.6654745371,37.89696516666667,N,107.7132625,W,2,8,0.64,3386.3
736367.6654861111,37.8969655,N,107.71326266666667,W,2,8,0.62,3386.2
736367.6654976852,37.89696566666667,N,107.71326266666667,W,2,8,0.62,3386.2
736367.6655092592,37.89696583333333,N,107.713263,W,2,8,0.62,3386.1
736367.6655208333,37.896966166666665,N,107.713264,W,2,8,0.66,3386.1
736367.6655324074,37.896966166666665,N,107.713265,W,2,8,0.62,3386.1
736367.6655439815,37.896966166666665,N,107.71326566666667,W,2,8,0.62,3386.0
736367.6655555556,37.89696633333333,N,107.713266,W,2,8,0.62,3385.9
736367.6655671296,37.896966166666665,N,107.71326616666667,W,2,8,0.62,3385.8
736367.6655787037,37.896966166666665,N,107.7132665,W,2,8,0.62,3385.7
736367.6655902778,37.896966166666665,N,107.71326683333334,W,2,8,0.62,3385.6
736367.6656018519,37.896966166666665,N,107.71326666666667,W,2,8,0.62,3385.4
736367.6656134259,37.89696633333333,N,107.713267,W,2,8,0.62,3385.3
736367.665625,37.8969665,N,107.713267,W,2,8,0.62,3385.2
736367.665636574,37.8969665,N,107.71326666666667,W,2,8,0.6,3385.0
736367.6656481482,37.896967,N,107.71326616666667,W,2,8,0.6,3384.8
736367.6656597222,37.896967333333336,N,107.71326566666667,W,2,8,0.6,3384.6
736367.6656712963,37.89696766666667,N,107.7132655,W,2,8,0.6,3384.4
736367.6656828703,37.896967833333335,N,107.71326533333334,W,2,8,0.64,3384.3
736367.6656944444,37.896968,N,107.71326533333334,W,2,8,0.6,3384.2
736367.6657060186,37.896968,N,107.71326516666667,W,2,8,0.64,3384.1
736367.6657175926,37.896967833333335,N,107.71326516666667,W,2,8,0.64,3384.0
736367.6657291667,37.896967833333335,N,107.71326483333333,W,2,8,0.64,3383.9
736367.6657407407,37.896967833333335,N,107.71326483333333,W,2,8,0.64,3383.8
736367.6657523148,37.896967833333335,N,107.71326433333333,W,2,8,0.64,3383.6
736367.6657638889,37.89696766666667,N,107.71326416666666,W,2,8,0.64,3383.6
736367.665775463,37.896967333333336,N,107.713264,W,2,8,0.6,3383.6
736367.665787037,37.896967333333336,N,107.71326416666666,W,2,8,0.6,3383.6
736367.6657986111,37.89696766666667,N,107.71326416666666,W,2,8,0.62,3383.6
736367.6658101851,37.89696816666667,N,107.71326416666666,W,2,8,0.6,3383.6
736367.6658217593,37.8969685,N,107.71326416666666,W,2,8,0.6,3383.7
736367.6658333334,37.896968666666666,N,107.71326433333333,W,2,8,0.6,3383.7
736367.6658449074,37.896968666666666,N,107.71326433333333,W,2,8,0.6,3383.8
736367.6658564815,37.89696883333333,N,107.713264,W,2,8,0.6,3383.8
736367.6658680555,37.89696883333333,N,107.713264,W,2,8,0.6,3383.9
736367.6658796297,37.89696883333333,N,107.713264,W,2,8,0.6,3384.0
736367.6658912037,37.89696883333333,N,107.71326416666666,W,2,8,0.6,3384.1
736367.6659027778,37.896969,N,107.71326433333333,W,2,8,0.6,3384.2
736367.6659143518,37.896969,N,107.7132645,W,2,8,0.6,3384.2
736367.665925926,37.896969,N,107.7132645,W,2,8,0.6,3384.2
736367.6659375,37.89696883333333,N,107.713266,W,2,8,0.6,3384.5
736367.6659490741,37.896968666666666,N,107.71326633333334,W,2,8,0.6,3384.5
736367.6659606481,37.896968666666666,N,107.71326633333334,W,2,8,0.6,3384.4
736367.6659722222,37.8969685,N,107.71326616666667,W,2,8,0.6,3384.3
736367.6659837964,37.896968333333334,N,107.713266,W,2,8,0.6,3384.2
736367.6659953704,37.89696816666667,N,107.71326566666667,W,2,8,0.6,3384.1
736367.6660069445,37.896967833333335,N,107.71326583333334,W,2,8,0.6,3384.0
736367.6660185185,37.896967833333335,N,107.71326566666667,W,2,8,0.6,3383.9
736367.6660300926,37.89696766666667,N,107.71326533333334,W,2,8,0.6,3383.8
736367.6660416666,37.89696816666667,N,107.7132675,W,2,8,0.6,3384.0
