day.dec,latitude,N/S,longitude,E/W,GPSfix,NSats,HDOP,elevation
736382.6739699075,37.905624333333336,N,107.70794183333334,W,1,7,1.65,3354.1
736382.6739814815,37.90562466666667,N,107.7079435,W,1,7,1.65,3354.3
736382.6739930556,37.90562366666666,N,107.70794533333333,W,1,7,1.65,3354.6
736382.6740046296,37.9056225,N,107.70795,W,1,7,1.65,3355.3
736382.6740162037,37.905620166666665,N,107.70795516666666,W,1,8,1.63,3356.1
736382.6740277777,37.90561966666667,N,107.70795816666667,W,1,8,1.63,3356.5
736382.6740393519,37.905621333333336,N,107.70795916666667,W,1,8,1.63,3356.5
736382.6740509259,37.905623,N,107.7079595,W,1,8,1.63,3356.5
736382.6740625,37.90562283333333,N,107.70795933333333,W,1,8,1.63,3356.3
736382.674074074,37.9056245,N,107.7079605,W,1,8,1.63,3356.4
736382.6740856481,37.90562666666667,N,107.70796116666666,W,1,8,1.63,3356.4
736382.6740972223,37.9056265,N,107.70796183333333,W,1,8,1.63,3356.4
736382.6741087963,37.90562416666667,N,107.70796216666666,W,1,8,1.63,3356.4
736382.6741203704,37.90562716666667,N,107.70796466666667,W,1,8,1.63,3356.7
736382.6741319444,37.9056285,N,107.707966,W,1,8,1.63,3356.6
736382.6741435186,37.905628666666665,N,107.70796183333333,W,1,8,1.63,3355.9
736382.6741550926,37.905628,N,107.7079605,W,1,8,1.63,3355.6
736382.6741666667,37.9056255,N,107.70796,W,1,8,1.63,3355.3
736382.6741782407,37.905627833333334,N,107.707962,W,1,8,1.63,3355.3
736382.6741898148,37.905627333333335,N,107.70796266666666,W,1,8,1.63,3355.2
736382.6742013888,37.90562666666667,N,107.7079645,W,1,8,1.63,3355.3
736382.674212963,37.90562766666667,N,107.70796566666667,W,1,8,1.63,3355.7
736382.674224537,37.9056275,N,107.70796566666667,W,1,8,1.63,3355.7
736382.6742361111,37.90562766666667,N,107.707968,W,1,8,1.63,3355.9
736382.6742476852,37.90562766666667,N,107.7079685,W,1,8,1.63,3356.1
736382.6742592592,37.90562833333333,N,107.70796866666667,W,1,8,1.63,3356.0
736382.6742708334,37.905629,N,107.70796966666667,W,1,8,1.63,3355.8
736382.6742824074,37.9056305,N,107.707969,W,1,8,1.63,3355.6
736382.6742939815,37.905632833333335,N,107.70797183333333,W,1,8,1.63,3355.2
736382.6743055555,37.90563433333333,N,107.70796933333334,W,1,8,1.63,3355.2
736382.6743171297,37.905635333333336,N,107.70797016666667,W,1,8,1.63,3355.2
736382.6743287037,37.9056325,N,107.70796983333334,W,1,8,1.63,3355.2
736382.6743402778,37.90563316666667,N,107.70797416666667,W,1,8,1.63,3355.7
736382.6743518518,37.9056305,N,107.70797416666667,W,1,8,1.63,3355.8
736382.6743634259,37.905626,N,107.70797583333334,W,1,8,1.63,3356.3
736382.674375,37.905626,N,107.707973,W,1,8,1.62,3356.3
736382.6743865741,37.905625666666666,N,107.70796616666667,W,1,8,1.62,3355.7
736382.6743981482,37.90562583333333,N,107.707964,W,1,8,1.62,3355.8
736382.6744097222,37.9056265,N,107.70796033333333,W,1,8,1.62,3355.8
736382.6744212963,37.9056265,N,107.7079615,W,1,8,1.62,3356.1
736382.6744328703,37.90562766666667,N,107.70796066666666,W,1,8,1.62,3356.0
736382.6744444445,37.90562666666667,N,107.70795833333334,W,1,8,1.62,3356.1
736382.6744560185,37.9056235,N,107.70795516666666,W,1,8,1.62,3355.5
736382.6744675926,37.90562416666667,N,107.70795383333333,W,1,8,1.62,3355.7
736382.6744791666,37.905624,N,107.70795183333334,W,1,8,1.62,3355.1
736382.6744907408,37.905624,N,107.70795083333333,W,1,8,1.62,3355.0
736382.6745023148,37.905624333333336,N,107.7079495,W,1,8,1.62,3354.9
736382.6745138889,37.90562466666667,N,107.7079485,W,1,8,1.62,3354.7
736382.6745254629,37.9056245,N,107.70794766666667,W,1,8,1.62,3354.5
736382.674537037,37.90562366666666,N,107.7079465,W,1,8,1.62,3354.1
736382.6745486112,37.905623166666665,N,107.7079455,W,1,8,1.62,3353.9
736382.6745601852,37.905624,N,107.70794466666666,W,1,8,1.62,3353.9
736382.6745717593,37.90562516666667,N,107.70794283333333,W,1,8,1.62,3353.6
736382.6745833333,37.905626,N,107.7079415,W,1,8,1.62,3353.3
736382.6745949074,37.9056275,N,107.70793883333333,W,1,8,1.62,3352.8
736382.6746064815,37.905628666666665,N,107.70793733333333,W,1,8,1.62,3352.5
736382.6746180556,37.9056295,N,107.70793533333334,W,1,8,1.62,3352.1
736382.6746296296,37.905630333333335,N,107.70793283333333,W,1,8,1.62,3351.8
736382.6746412037,37.905631,N,107.70793216666667,W,1,8,1.62,3351.7
736382.6746527777,37.90563216666666,N,107.70793183333333,W,1,8,1.62,3351.8
736382.6746643519,37.90563266666667,N,107.70793,W,1,8,1.35,3351.3
736382.674675926,37.9056325,N,107.70793066666667,W,1,8,1.35,3351.5
736382.6746875,37.9056325,N,107.7079295,W,1,8,1.35,3351.2
736382.6746990741,37.905632833333335,N,107.70792900000001,W,1,8,1.35,3351.2
736382.6747106481,37.90563266666667,N,107.70792900000001,W,1,8,1.35,3351.1
736382.6747222223,37.905633333333334,N,107.70792666666667,W,1,8,1.35,3350.8
736382.6747337963,37.905632833333335,N,107.70792616666667,W,1,8,1.35,3350.7
736382.6747453704,37.90563233333334,N,107.707925,W,1,8,1.35,3350.6
736382.6747569444,37.9056325,N,107.7079245,W,1,8,1.35,3350.5
736382.6747685185,37.905632,N,107.70792366666667,W,1,8,1.35,3350.2
736382.6747800926,37.905631,N,107.70792416666667,W,1,8,1.35,3350.1
736382.6747916667,37.905631166666666,N,107.707926,W,1,8,1.35,3350.4
